State,City,Income,Poverty,Highschool
CO,Vona town,31250.0,0.0,75.7
IL,Carrollton,42025.0,11.8,90.8
NM,Anthony,22074.0,46.2,58.6
TX,Sealy,42926.0,15.9,78.1
TN,Gatlinburg,36175.0,13.7,83.4
NY,Bayville village,101221.0,5.7,95.5
OR,Tangent,44643.0,15.2,87.2
MT,East Missoula CDP,39390.0,22.4,92.9
NC,White Plains CDP,32561.0,19.6,83.3
ND,Four Bears Village CDP,24250.0,45.3,93.3
CA,Forestville CDP,53112.0,14.7,94.4
CA,Rutherford CDP,61442.0,0.0,78.3
OK,Purcell,45643.0,19.4,76.8
MA,Northwest Harwich CDP,60765.0,7.3,92.2
MT,Ulm CDP,82813.0,2.7,95.3
NY,Red Oaks Mill CDP,76855.0,5.7,97.2
NE,Cozad,40260.0,16.2,86.4
OK,Scraper CDP,31075.0,8.1,100.0
CO,Mancos town,36729.0,27.3,89.9
IL,Leonore village,44583.0,5.4,82.3
NC,Locust,52643.0,13.2,87.9
VA,Hot Springs CDP,36693.0,6.2,84.1
IL,Spillertown village,35250.0,23.7,83.0
MN,Zemple,23333.0,30.4,89.1
WA,Kingston CDP,47153.0,3.9,98.1
FL,Garcon Point CDP,91923.0,0.0,100.0
WI,Whittlesey CDP,34792.0,12.2,89.0
NV,Fallon,39580.0,23.7,90.3
TX,Liberty,48055.0,20.7,73.8
IL,Trenton,63621.0,8.5,91.4
IN,Onward town,27639.0,21.8,92.6
GA,Thomson,21425.0,40.1,69.8
NJ,Rutherford borough,84778.0,4.6,94.6
NJ,Yorketown CDP,105483.0,4.5,96.6
CA,San Clemente,98153.0,8.0,95.3
NY,Woodbury CDP,158679.0,3.9,94.8
OK,Beggs,31063.0,25.5,85.5
MN,Waubun,40179.0,22.9,91.0
VA,Churchville CDP,49063.0,23.5,100.0
NM,Dulce CDP,35833.0,25.6,87.0
IA,Superior,48750.0,4.9,82.6
OH,Cedarville village,37917.0,28.5,95.3
NY,New Square village,22470.0,70.5,70.6
FL,Atlantic Beach,70786.0,8.5,94.9
TX,Sparks CDP,20323.0,49.0,39.0
KY,New Castle,25000.0,39.8,79.7
AL,Tallassee,38275.0,17.1,88.9
IL,Meredosia village,35000.0,12.9,85.7
OH,Bladensburg CDP,42986.0,39.8,88.2
IN,Colburn CDP,41417.0,0.0,100.0
ID,Hayden Lake,70375.0,2.9,99.6
OH,Louisville,48827.0,6.6,91.3
TX,Covington,41250.0,22.5,82.2
NC,Wingate town,36875.0,26.2,85.3
NC,Oak town,36250.0,14.3,74.1
OK,Brent CDP,47981.0,13.5,85.0
KS,Palmer,39000.0,43.6,77.1
IL,Fithian village,49844.0,19.4,88.7
WA,Chinook CDP,51538.0,0.0,100.0
CA,San Juan Capistrano,72472.0,15.4,84.4
AL,Carlisle-Rockledge CDP,35938.0,17.2,73.1
FL,Boulevard Gardens CDP,44145.0,5.4,64.9
NE,Oakdale village,24896.0,19.0,81.5
MO,Norwood Court town,29702.0,24.7,87.8
CA,Richvale CDP,79018.0,0.0,87.4
NY,Bardonia CDP,115927.0,2.1,95.6
