State,City,Income,Poverty,Highschool
AL,New Hope,44224.0,14.8,84.3
NH,East Merrimack CDP,58125.0,6.4,95.2
WI,Exeland village,35833.0,35.2,88.8
CA,Yolo CDP,76029.0,4.7,84.5
NM,Mora CDP,23193.0,6.0,94.1
IL,Diamond village,64833.0,16.0,91.6
SD,Parkston,39609.0,9.1,84.8
NY,Chappaqua CDP,113300.0,3.3,96.1
WV,Valley Grove village,35357.0,12.2,86.8
IN,Greenfield,53459.0,8.5,90.6
CA,Deer Park CDP,96058.0,13.6,95.1
LA,Sun village,36591.0,18.0,73.6
OH,West Mansfield village,50769.0,12.7,88.0
AZ,Tanque Verde CDP,92488.0,6.0,96.5
MD,Baden CDP,89464.0,2.6,84.0
IL,Virginia,46375.0,10.3,91.8
MI,Lake Odessa village,38710.0,10.6,86.7
OH,Bay View village,42159.0,6.4,85.3
NC,Hamlet,36165.0,27.5,82.6
CA,Bell,37269.0,27.7,47.4
KY,Columbus,36250.0,21.8,82.5
IL,Coulterville village,40179.0,14.8,90.7
AZ,Parker town,43271.0,15.4,80.4
MT,Ballantine CDP,18654.0,19.0,51.3
FL,River Park CDP,31322.0,27.5,77.7
OK,Spiro town,35536.0,31.3,73.9
IL,Geneseo,58382.0,7.6,95.0
IL,Palmyra village,35625.0,18.8,84.6
AZ,Corona de Tucson CDP,90231.0,1.3,96.0
AL,Vincent town,42692.0,10.9,77.5
MS,Gunnison town,22292.0,43.6,71.9
FL,Fort Pierce South CDP,30757.0,25.0,73.5
MN,Vineland CDP,36500.0,31.5,80.2
PA,Browntown CDP,54330.0,2.8,88.6
MD,Breathedsville CDP,63310.0,5.9,89.3
TX,Emhouse town,32917.0,22.2,90.6
OH,Findlay,45134.0,19.2,90.6
KS,Riley,43382.0,16.8,92.5
TX,Mobeetie,43889.0,16.0,90.5
NC,Gorman CDP,53844.0,32.4,79.3
ND,Turtle Lake,43235.0,13.9,88.3
MT,Fortine CDP,31250.0,25.4,86.1
ID,Lewiston,46536.0,11.6,91.4
IA,Hayesville,33333.0,12.5,85.7
ND,Mooreton,65000.0,14.3,92.9
WI,Wheeler village,35625.0,30.1,73.2
NE,Scotia village,39107.0,4.7,88.7
IA,Luxemburg,46875.0,7.9,87.5
GA,Woodbine,39359.0,29.8,80.4
MO,Bagnell town,20417.0,40.4,87.5
IL,Matteson village,76638.0,11.2,94.3
OR,Gladstone,55848.0,11.6,89.0
MO,Excelsior Springs,50051.0,15.7,83.0
MO,Lone Jack,67292.0,14.1,92.0
MA,Wilbraham CDP,99550.0,4.8,90.5
TN,Dodson Branch CDP,36161.0,16.3,81.8
TX,Natalia,31650.0,26.2,66.6
CA,Cherryland CDP,51071.0,24.8,74.3
KY,Cambridge,51250.0,19.4,92.9
MI,Gibraltar,66477.0,11.9,89.0
IL,Litchfield,44547.0,21.0,84.4
FL,Spring Lake CDP,50880.0,11.5,93.4
IA,Knierim,53438.0,12.8,100.0
TX,Burke,43661.0,11.0,76.9
GA,Orchard Hill town,27500.0,34.7,47.0
UT,Panguitch,40833.0,29.1,92.5
IA,Sioux Rapids,39375.0,14.9,93.8
SC,Jefferson town,30750.0,34.5,79.9
MS,Ellisville,23272.0,39.7,68.0
IN,McCordsville town,83479.0,1.3,99.2
ID,Boise,50323.0,14.3,94.3
MO,Galena,26842.0,41.9,71.9
SD,Armour,43548.0,10.0,85.2
MA,North Lakeville CDP,61133.0,3.9,93.0
NC,Swansboro town,43422.0,26.1,92.8
CO,Black Forest CDP,105313.0,3.7,98.0
OK,Duncan,40204.0,17.8,84.7
MN,Lake Wilson,46146.0,7.1,89.2
NC,Wade town,40625.0,16.7,80.7
TN,Brighton town,57958.0,12.2,84.3
LA,Stonewall town,69625.0,10.2,88.5
TX,Newton,34286.0,29.9,83.9
FL,Jasper,32600.0,35.7,66.1
CA,Linden CDP,84239.0,12.3,95.4
TX,Littlefield,35642.0,26.7,75.3
TX,Menard,32438.0,15.6,71.2
IL,Norwood village,51250.0,8.1,89.5
ID,Stanley,24750.0,40.4,100.0
ME,Randolph CDP,45896.0,8.1,90.9
WI,Chilton,47955.0,14.3,89.8
TX,Shiner,46739.0,9.1,81.5
OK,Shidler,41500.0,17.9,79.0
CO,Derby CDP,41503.0,24.0,58.5
MN,Luverne,44583.0,15.1,88.6
SD,Lake Norden,49028.0,9.2,91.0
NC,Dobbins Heights town,21220.0,29.9,81.1
TN,Apison CDP,56905.0,14.3,94.4
NC,West Marion CDP,35268.0,13.8,89.2
PA,Milford Square CDP,85190.0,0.0,100.0
MI,Presque Isle Harbor CDP,55438.0,2.3,98.0
MD,Halfway CDP,58133.0,7.5,91.5
TX,Jacksboro,50139.0,16.5,76.1
MI,Livonia,70125.0,5.8,94.0
CO,Breckenridge town,61394.0,12.0,99.0
NC,Monroe,42186.0,24.6,75.1
IN,Vincennes,35455.0,23.9,85.4
NY,Crugers CDP,38301.0,8.5,74.2
MO,Galt,28750.0,21.4,79.5
OK,Mountain View town,38684.0,19.8,84.6
MN,Vermillion,76111.0,2.1,94.9
CA,Brookdale CDP,73787.0,11.4,98.7
NY,Thousand Island Park CDP,59803.0,0.0,100.0
OH,Cairo village,40000.0,11.6,92.8
ND,Kulm,46000.0,5.8,84.6
AL,Ranburne town,50909.0,5.8,86.5
CT,Newtown borough,123750.0,3.4,95.6
WA,Allyn CDP,67237.0,3.4,93.9
TX,Annetta North town,105714.0,4.3,93.9
WV,Barboursville village,39068.0,7.9,82.0
NY,Trumansburg village,47955.0,16.8,96.9
WV,Buckhannon,30833.0,28.2,86.7
TN,Chesterfield CDP,39018.0,22.7,83.9
IL,Christopher,34875.0,19.6,88.1
MT,Melstone town,36250.0,18.3,76.8
NM,Arrey CDP,30096.0,11.9,42.6
AK,Kobuk,43333.0,49.1,72.1
NE,Hildreth village,55909.0,13.7,95.8
PA,West Mifflin borough,50336.0,13.1,93.5
KS,Council Grove,36154.0,10.6,85.7
PA,Cheswick borough,54573.0,8.1,95.8
MO,Nelson,38750.0,21.7,69.1
ND,St. John,33750.0,20.3,81.7
AR,Hunter town,20313.0,35.4,71.3
TX,Edna,50647.0,16.8,73.5
WI,Pardeeville village,52451.0,6.9,94.6
CA,Live Oak,42288.0,21.8,63.7
FL,Connerton CDP,140125.0,0.0,73.3
NE,Potter village,40833.0,16.5,90.5
AR,College Station CDP,24130.0,0.0,59.7
MS,Hernando,58870.0,9.1,89.1
IL,Irvington village,57143.0,18.2,92.6
CA,San Carlos,131685.0,3.6,97.4
AR,Moro town,34821.0,19.9,80.8
MO,Pickering town,36111.0,9.9,89.2
NY,Mahopac CDP,95619.0,6.2,93.7
IL,Foosland village,38750.0,0.0,85.3
IN,Munster town,70503.0,8.6,93.7
OH,West Portsmouth CDP,33732.0,18.2,83.1
IN,Fish Lake CDP,50313.0,0.0,82.0
WV,Big Creek CDP,62125.0,9.3,88.9
OH,Brooklyn,42341.0,13.4,85.7
IA,Burr Oak CDP,46944.0,12.7,90.1
KY,Crab Orchard,22072.0,34.6,71.4
CA,Bend CDP,51823.0,7.9,94.3
WA,Bellingham,43536.0,23.0,92.7
IL,Ashland village,58500.0,7.4,92.5
PA,Bentleyville borough,39224.0,25.6,88.7
AL,Oxford,51375.0,11.7,83.5
CA,Woodlake,32266.0,29.9,53.6
NE,Callaway village,43077.0,17.1,96.2
GA,Dooling town,35644.0,48.4,61.7
IA,Cushing,36667.0,6.2,94.2
NV,Owyhee CDP,35938.0,19.8,82.5
ND,Donnybrook,49375.0,8.2,71.0
KS,Willis,50625.0,0.0,100.0
MD,Lansdowne CDP,42267.0,23.3,75.6
NY,Ames village,61667.0,0.0,77.8
CA,Contra Costa Centre CDP,91218.0,9.9,94.9
MD,Mount Aetna CDP,78333.0,0.0,97.9
CA,Seville CDP,23750.0,62.6,38.4
OR,Cloverdale CDP,85714.0,0.0,97.2
SD,Wakonda town,41250.0,13.5,85.1
MA,Milford CDP,65163.0,12.1,91.1
IL,Raleigh village,41500.0,16.0,91.8
NE,Mullen village,36061.0,14.8,92.4
MO,Webb,42717.0,15.5,90.1
OH,Euclid,35487.0,20.9,88.7
IL,Hopedale village,50333.0,9.5,88.4
MO,Bosworth,33393.0,11.9,76.6
NH,Warner CDP,53657.0,4.1,95.0
AR,Magazine,36875.0,22.8,77.5
SD,Eureka,30242.0,16.3,67.2
IL,Long Point village,51094.0,4.0,92.2
NM,Tesuque Pueblo CDP,40000.0,19.6,76.5
NC,Forest town,26770.0,34.0,73.9
ND,Reeder,38125.0,8.8,90.6
NY,Riverside CDP,39571.0,11.4,70.9
NJ,Manahawkin CDP,67518.0,11.4,85.3
CA,North San Juan CDP,26696.0,41.4,96.6
OR,Silver Lake CDP,54643.0,0.0,100.0
WI,Mukwonago village,61622.0,7.1,95.7
SD,Newell,31875.0,21.8,88.9
AR,Poyen town,42750.0,17.6,88.4
CT,Watertown CDP,78828.0,5.3,96.6
FL,West Palm Beach,45800.0,20.0,84.4
IL,Xenia village,40625.0,15.2,89.3
PA,West Fairview CDP,49318.0,10.0,86.7
PA,Glenfield borough,71667.0,6.1,90.2
WI,Rochester village,62865.0,4.6,89.1
NE,Walton CDP,131172.0,0.0,100.0
IL,Royal village,66667.0,16.5,96.3
IA,Rembrandt,38125.0,8.9,81.4
AR,El Dorado,34239.0,27.4,80.0
FL,Palm Valley CDP,84688.0,5.6,97.4
OR,Veneta,41558.0,25.2,83.5
VA,Lyndhurst CDP,59612.0,15.4,82.8
IL,Iola village,31250.0,15.0,86.4
AZ,Show Low,42614.0,18.4,88.7
OH,Sebring village,36458.0,15.0,84.4
MN,Belle Plaine,71964.0,5.5,93.9
OH,Lynchburg village,40368.0,16.3,93.0
ID,Worley,33929.0,16.9,88.3
TN,Mount Pleasant,34963.0,25.7,81.2
NE,Lamar village,26250.0,0.0,100.0
MS,Clinton,55486.0,15.5,92.2
NM,San Antonito CDP (Bernalillo County),81778.0,2.3,98.7
AR,St. Francis,24167.0,42.2,85.9
VA,Horse Pasture CDP,27103.0,23.1,83.3
IN,Fishers town,95487.0,3.2,97.4
OK,Hulbert town,24643.0,31.5,69.3
AZ,Golden Valley CDP,33639.0,25.1,81.6
FL,June Park CDP,56377.0,8.6,90.4
OK,Seiling,44107.0,13.6,88.6
MD,Darlington CDP,71786.0,4.6,91.9
IN,Henryville CDP,55962.0,14.9,76.6
IA,Jackson Junction,48750.0,6.5,96.8
AL,Newbern town,18750.0,35.0,74.6
WV,Cucumber CDP,25089.0,24.6,53.5
IA,Ayrshire,28750.0,13.8,91.0
FL,Brent CDP,36498.0,21.8,84.5
NJ,North Plainfield borough,66272.0,10.6,84.4
MN,Winona,41053.0,20.1,91.2
NM,Moriarty,29144.0,25.4,82.0
NC,Kings Mountain,40939.0,18.1,83.9
MN,Grand Meadow,50648.0,10.9,86.7
AK,Noorvik,40833.0,37.2,75.3
IL,Danvers village,64868.0,3.5,96.4
MN,Mazeppa,62083.0,4.7,89.8
NE,Gibbon,44079.0,14.4,72.8
AK,Skagway CDP,69643.0,4.6,97.2
LA,Lockport town,50560.0,15.8,76.2
CA,Oakdale,51785.0,18.6,86.1
CA,Eldridge CDP,54506.0,25.5,91.4
SC,Norway town,32500.0,25.7,89.4
IA,Armstrong,47000.0,7.2,89.6
OH,Minster village,69615.0,5.4,95.5
VA,Buchanan town,55739.0,5.6,83.4
GA,Leesburg,56964.0,19.9,84.3
TN,Fairfield Glade CDP,47911.0,4.6,95.6
FL,West Bradenton CDP,55873.0,9.2,90.9
MO,Diamond town,32500.0,12.2,82.0
NY,Niagara Falls,31560.0,26.7,85.6
FL,Anna Maria,47917.0,7.2,99.2
OK,Medford,41316.0,14.5,89.9
MA,Greenfield Town,49612.0,14.2,91.4
CA,Ford CDP,31112.0,40.9,66.4
NY,York Hamlet CDP,75495.0,1.5,100.0
VA,Salem,50068.0,11.2,90.0
IN,Rocky Ripple town,50417.0,17.0,94.8
OR,Mount Hood CDP,63542.0,0.0,100.0
MD,Laurel,68517.0,9.9,87.5
NM,Rodey CDP,16023.0,72.2,26.4
OR,Sutherlin,33859.0,24.2,84.7
MO,Fairdealing CDP,55323.0,9.3,78.5
NE,Arnold village,37614.0,13.9,95.2
NJ,Wenonah borough,104375.0,2.6,97.6
MI,Stephenson,31719.0,19.1,86.4
NY,Rye,155273.0,3.6,97.0
PA,Mount Gretna borough,118059.0,0.0,99.1
AR,Bono,36875.0,16.8,80.3
MD,Bartonsville CDP,87625.0,10.3,83.1
AR,Calion,35833.0,7.8,67.0
MI,Breckenridge village,30580.0,28.2,91.8
TN,Cleveland,36669.0,25.0,82.5
NJ,Cresskill borough,110156.0,3.5,93.9
AK,White Mountain,27083.0,34.3,85.4
PA,West Elizabeth borough,39808.0,19.6,92.7
MT,Circle town,36250.0,12.0,92.7
FL,White Springs town,27708.0,32.8,81.8
NC,Faith town,44896.0,18.3,89.9
NC,Cofield village,32917.0,28.0,77.1
NY,Rochester,30960.0,33.5,80.5
TN,Athens,30167.0,29.2,84.6
LA,Siracusaville CDP,25461.0,31.3,80.0
CO,Center town,25130.0,37.2,41.1
IL,Crete village,68068.0,5.3,96.2
GA,Woodstock,68504.0,7.0,95.5
LA,North Vacherie CDP,49183.0,14.8,88.3
IN,Ladoga town,49583.0,16.7,91.3
KS,Horton,31563.0,23.1,89.4
IN,Boswell town,39375.0,22.2,87.2
IL,Willow Hill village,30865.0,16.7,81.3
IA,Glidden,55625.0,13.0,93.7
SD,Eagle Butte,24261.0,51.5,86.3
HI,Waiohinu CDP,30875.0,22.9,87.8
ID,Lewisville,41667.0,12.6,87.7
KY,Loyall,23839.0,40.2,73.5
NE,Emmet village,41250.0,5.3,86.7
AL,Cleveland town,40909.0,15.0,74.4
NE,Jackson village,58250.0,6.2,92.9
MD,Ballenger Creek CDP,76628.0,8.6,95.0
MO,Sappington CDP,55339.0,5.3,94.9
NJ,Estell Manor,78750.0,5.1,91.9
MO,Louisburg village,28333.0,26.6,85.1
MT,Saddle Butte CDP,93359.0,2.3,100.0
OK,Chouteau town,42875.0,17.7,85.3
TX,Bells town,55260.0,13.9,86.2
TX,Edgecliff Village town,69485.0,11.5,92.0
TX,Matagorda CDP,32102.0,17.0,94.0
OK,Wister town,25139.0,29.6,78.6
AK,Whittier,55893.0,11.2,91.1
IL,Willisville village,26250.0,28.9,81.5
FL,Wildwood,40039.0,20.9,89.6
MA,Cheshire CDP,56302.0,3.3,89.1
NY,Chestertown CDP,46761.0,13.2,92.9
AZ,Moenkopi CDP,49762.0,19.9,91.1
NJ,Ventnor,50978.0,14.2,88.0
HI,Waipio Acres CDP,60887.0,16.4,92.9
MO,Arbela town,22500.0,26.3,80.0
IL,Schiller Park village,49111.0,11.6,82.4
MD,Bensville CDP,122512.0,3.3,95.0
WA,Fort Lewis CDP,44097.0,12.1,98.3
OH,Greenfield village,24720.0,34.2,79.5
AZ,Walnut Creek CDP,41250.0,32.5,95.9
MO,Maryville,26889.0,38.1,92.8
NJ,Highlands borough,62770.0,12.1,93.6
IN,Selma town,40096.0,12.3,91.3
WA,Maple Valley,100443.0,4.4,97.4
WV,Mount Hope,21218.0,42.3,88.1
MN,Morton,39531.0,6.6,89.6
WA,Mead CDP,56042.0,7.4,93.3
RI,Kingston CDP,71786.0,23.3,96.0
MN,Bemidji,35610.0,21.5,91.3
FL,Lake Magdalene CDP,50157.0,14.0,90.5
GA,Woodville,34643.0,31.1,74.3
MD,Mount Briar CDP,67105.0,0.0,88.5
AR,Concord town,36250.0,12.0,82.1
MT,Colstrip,84145.0,8.5,97.9
MO,Crane,30652.0,23.5,77.5
ND,New Salem,50750.0,8.1,89.1
MO,Oakwood village,92750.0,11.8,94.6
IA,Washta,34583.0,6.1,81.9
FL,Daytona Beach Shores,41345.0,11.5,95.3
WA,Wilkeson town,58906.0,10.3,90.5
KS,Severy,26389.0,28.2,86.9
VA,Bethel Manor CDP,50452.0,6.9,97.5
CA,Manchester CDP,36250.0,7.1,79.8
CA,Wildomar,62489.0,15.0,84.1
TX,Grays Prairie village,70313.0,4.6,88.0
MT,Silesia CDP,45096.0,9.0,82.6
MD,Sharptown town,56250.0,17.0,83.4
TN,Ramer,27917.0,14.0,84.8
IA,Plover,36250.0,0.0,93.8
MD,Mountain Lake Park town,39688.0,17.7,89.7
MO,Bakersfield village,29545.0,19.7,79.1
WV,Ansted town,41000.0,13.9,81.4
VA,Pearisburg town,46792.0,7.8,86.9
IL,Alsey village,31250.0,25.4,86.2
WA,Garfield town,41364.0,9.4,93.7
LA,Labadieville CDP,54659.0,14.3,85.3
MT,Culbertson town,64167.0,7.8,89.0
MI,Burr Oak village,43068.0,12.4,78.5
AR,Kensett,26086.0,42.0,55.6
MN,Barrett,39028.0,9.1,81.9
TN,Benton town,37344.0,19.0,75.4
PA,West Kittanning borough,47961.0,5.6,93.8
WV,Logan,29712.0,29.8,77.7
OR,Creswell,53449.0,6.8,95.4
NC,Pleasant Garden town,56520.0,17.5,91.8
VA,Capron town,53750.0,13.5,87.5
AL,Stapleton CDP,53083.0,7.0,84.1
NJ,Barnegat CDP,73516.0,17.6,87.2
NC,Buxton CDP,33021.0,6.1,91.9
MS,Isola town,20893.0,47.7,61.8
OH,Felicity village,23526.0,32.0,66.9
AZ,Wet Camp Village CDP,32031.0,30.4,37.7
OH,Marion,33365.0,24.9,82.9
NJ,Sayreville borough,80386.0,6.6,90.8
MT,Woods Bay CDP,48380.0,5.9,98.5
MI,Keego Harbor,42616.0,19.5,89.9
WV,Clendenin town,42461.0,12.6,82.2
AZ,Oak Springs CDP,39583.0,38.6,77.5
CO,Trinidad,43819.0,16.9,84.1
IA,Newell,55500.0,14.4,90.9
NY,Garden village,153506.0,3.9,97.4
AL,Montgomery,42927.0,24.1,85.5
GA,Chickamauga,45481.0,15.1,87.3
KS,Marysville,41086.0,7.8,95.2
TX,Aubrey,60000.0,5.1,86.9
NY,Phelps village,51992.0,11.4,94.1
PA,Pine Grove borough,45795.0,11.3,86.4
AR,Springtown town,30625.0,17.8,90.5
NC,Altamahaw CDP,85208.0,2.8,89.0
AR,Mount Pleasant town,32083.0,9.7,87.9
MT,Laurel,50143.0,9.0,92.2
IL,Chadwick village,50350.0,6.3,91.1
ME,York Harbor CDP,59840.0,5.2,99.1
MT,Busby CDP,33529.0,56.6,76.9
IL,Lomax village,30795.0,20.1,79.1
NE,Keystone CDP,51406.0,0.0,100.0
AL,Cowarts town,43533.0,11.7,86.0
NC,Franklinville town,27417.0,33.1,67.0
WV,Bath (Berkeley Springs) town,36250.0,23.3,82.7
CA,Santa Paula,52824.0,18.0,64.3
MI,Bay Shore CDP,33438.0,17.2,91.0
MO,Stella town,29583.0,31.5,66.7
WI,Wisconsin Dells,44688.0,16.7,88.1
PA,Republic CDP,46204.0,21.7,89.0
TN,Grimsley CDP,34257.0,28.8,74.7
GA,Kings Bay Base CDP,41167.0,24.7,89.5
WA,Startup CDP,32011.0,29.2,62.4
NJ,Leonardo CDP,56583.0,7.7,94.8
AK,Port Alexander,82813.0,0.0,100.0
CA,Frazier Park CDP,36156.0,20.8,90.9
MT,Cooke CDP,38750.0,0.0,97.1
IA,Fremont,41319.0,15.6,91.1
MO,Glenwood village,28250.0,20.0,86.6
TN,Calhoun town,38750.0,13.7,85.4
WV,Beech Bottom village,39464.0,15.2,86.0
PA,Castanea CDP,40536.0,12.0,93.3
NY,Erin CDP,32292.0,12.3,89.7
WA,Curlew Lake CDP,52054.0,4.3,85.3
OK,Welch town,38611.0,10.6,89.1
WI,Tustin CDP,56000.0,3.5,94.0
CA,Fort Bragg,33867.0,22.3,85.2
WI,Alma,39239.0,7.0,92.8
AL,Clay,68717.0,6.6,92.2
MI,Whitmore Lake CDP,50890.0,10.0,94.4
GA,Comer,39750.0,27.4,79.0
AL,West Jefferson town,45938.0,10.2,88.3
MI,Imlay,35958.0,17.3,72.1
OR,Hebo CDP,27450.0,0.0,92.4
WI,Cambridge village,62708.0,10.5,96.1
NC,Gloucester CDP,47933.0,13.4,89.3
OH,Garfield Heights,39249.0,18.7,85.4
NY,Cassadaga village,52917.0,9.3,91.9
SC,Duncan town,32117.0,22.9,90.7
CA,West Modesto CDP,30221.0,41.2,53.6
SC,Woodruff,35389.0,23.4,62.2
IA,Dayton,41406.0,7.0,86.9
NE,Wahoo,51028.0,15.0,91.5
AL,Pine Hill town,30682.0,48.5,89.1
KY,Munfordville,21800.0,40.9,70.6
NJ,Atlantic,25737.0,36.9,69.6
UT,West Wood CDP,88438.0,0.0,96.1
WV,Oak Hill,39316.0,17.6,81.5
IL,Standard village,39250.0,8.2,86.1
IL,Standard village,39250.0,8.2,82.2
IL,Standard village,39250.0,30.8,86.1
IL,Standard village,39250.0,30.8,82.2
IL,Standard village,32375.0,8.2,86.1
IL,Standard village,32375.0,8.2,82.2
IL,Standard village,32375.0,30.8,86.1
IL,Standard village,32375.0,30.8,82.2
MA,Shirley CDP,58025.0,19.2,94.7
SC,Smyrna town,36429.0,12.2,67.6
VA,Hillsboro town,142500.0,3.6,98.3
IN,Clay town,34500.0,22.4,89.6
CA,Mission Viejo,100366.0,5.4,93.8
TX,Buffalo,44792.0,26.5,77.0
KS,Portis,27292.0,9.9,86.9
KY,La Center,32083.0,31.8,77.9
VA,Mount Vernon CDP,124735.0,6.5,90.7
SC,Pamplico town,32619.0,25.8,77.3
ND,Walcott,70179.0,0.0,93.0
MN,Arnold CDP,68458.0,7.9,95.7
NY,Eastchester CDP,104293.0,2.8,93.7
IN,Jeffersonville,50990.0,11.2,88.6
AZ,Six Shooter Canyon CDP,52448.0,28.9,87.3
AR,Arkansas,38250.0,18.2,73.9
MI,Sylvan Lake,65489.0,4.1,97.2
KS,Linwood,47083.0,16.7,85.1
TX,Kingsland CDP,41276.0,18.9,83.2
IL,Bloomington,62254.0,12.7,95.0
AZ,Mescal CDP,49388.0,12.2,87.6
WI,Lily Lake CDP,47083.0,4.2,83.9
KS,Moundridge,44886.0,8.5,87.7
KY,Brooksville,21786.0,30.4,81.3
FL,Palmetto Bay village,106324.0,7.8,95.0
MN,Beltrami,56250.0,7.5,96.9
NE,Superior,35605.0,15.1,91.0
TX,Cottonwood Shores,45391.0,13.3,82.9
FL,Sewall's Point town,107813.0,2.6,97.1
PA,Birdsboro borough,61078.0,9.7,89.9
MA,South Deerfield CDP,53447.0,5.9,94.6
TX,Hilshire Village,148750.0,1.7,94.0
NE,Wood Lake village,30000.0,4.5,89.5
FL,North Miami Beach,38387.0,23.2,80.1
NJ,Monmouth Beach borough,103287.0,5.6,99.1
TX,Mullin town,23750.0,28.7,67.1
CA,Nevada,47981.0,13.7,96.6
MN,Prinsburg,61719.0,8.1,90.4
MN,Wabasha,37361.0,12.2,89.9
TX,Pharr,34708.0,33.9,62.0
OH,Canal Winchester,76667.0,1.7,94.7
VA,Belview CDP,39336.0,24.2,93.5
GA,Rutledge,38125.0,18.4,77.9
TX,Weir,65000.0,20.3,75.5
WV,Alderson town,24643.0,28.5,90.9
TN,Gibson town,42917.0,6.2,82.4
AZ,Seba Dalkai CDP,28750.0,33.9,48.2
MI,Sunfield village,45455.0,10.4,86.8
NY,Central Islip CDP,66430.0,13.1,71.0
WA,Satsop CDP,52885.0,13.0,87.7
MD,Mount Savage CDP,51111.0,7.5,91.3
MT,Wineglass CDP,46250.0,16.3,100.0
TX,Pecan Hill,52625.0,18.9,90.9
PA,Minersville borough,34825.0,16.8,82.6
SD,Dimock town,48125.0,18.0,95.1
IN,Lizton town,49375.0,14.1,89.7
OH,Williamsburg village,46094.0,24.8,82.0
IA,Rossie,51875.0,11.1,100.0
KY,Houston Acres,62375.0,1.3,94.3
MT,Philipsburg town,41103.0,11.7,82.8
ND,Lehr,32500.0,15.8,65.8
FL,Bokeelia CDP,39327.0,17.4,94.1
CA,Barstow,39632.0,33.7,79.8
OK,Elm Grove CDP,28750.0,33.5,83.9
PA,Windsor borough,38828.0,22.3,82.1
MS,Winstonville town,19306.0,43.5,74.0
ID,Fairfield,40208.0,31.9,84.8
NJ,Marksboro CDP,71875.0,0.0,80.4
CO,Cimarron Hills CDP,52856.0,7.5,92.8
NV,Moapa Valley CDP,65654.0,6.0,92.7
MA,Sharon CDP,127580.0,3.1,98.5
IL,Forsyth village,83534.0,1.8,97.5
AZ,Tucson Estates CDP,43919.0,16.0,88.1
NJ,Loch Arbour village,112500.0,0.5,98.5
IA,Manning,42548.0,15.9,92.9
TX,Fredericksburg,48991.0,14.1,89.5
MO,St. Clement CDP,91058.0,6.5,61.6
FL,Haverhill town,51250.0,23.4,85.7
IA,Boxholm,33750.0,21.7,94.8
PA,Lake Arthur Estates CDP,29056.0,20.9,85.3
ND,Hurdsfield,52500.0,3.4,79.2
VA,Bluefield town,42717.0,10.2,84.1
TX,Cotulla,34167.0,18.5,61.1
MN,Fulda,42315.0,13.4,86.4
NY,Leeds CDP,82159.0,20.6,80.7
NY,Savona village,49500.0,23.4,90.3
MN,Gully,41667.0,22.9,96.8
IN,Osgood town,41010.0,10.2,77.4
MN,Lauderdale,41792.0,17.9,88.1
OK,Watonga,38152.0,28.0,81.4
LA,Golden Meadow town,52938.0,19.9,67.9
MO,Troy,51313.0,14.6,89.3
MT,Pryor CDP,33750.0,40.6,88.4
CA,Camarillo,88152.0,6.4,92.2
IA,Burlington,39586.0,19.6,89.7
PA,Friedensburg CDP,44856.0,7.7,91.3
LA,DeRidder,37903.0,27.9,85.0
TX,Milano,28194.0,31.5,80.8
PA,Point Marion borough,39514.0,20.1,82.4
OR,Bayside Gardens CDP,62163.0,10.2,97.4
SC,Walterboro,22500.0,27.8,84.5
IL,Elwood village,58542.0,16.2,95.2
PA,Heckscherville CDP,58333.0,8.0,94.1
PA,Dublin borough,54688.0,7.3,90.1
KY,Rineyville CDP,75651.0,10.8,94.2
OK,Le Flore town,26042.0,29.9,80.5
ID,Paul,45417.0,10.7,68.6
PA,Clinton CDP,57174.0,13.4,100.0
CA,Cold Springs CDP (Tuolumne County),33929.0,0.0,100.0
GA,Albany,29676.0,33.8,79.9
MT,Wibaux town,29750.0,22.2,81.1
MS,Belmont town,32418.0,23.7,83.9
MT,Lakeside CDP,57159.0,21.6,97.0
NY,Elba village,72083.0,2.1,93.1
MO,Atlanta,35375.0,13.7,85.0
AR,Wheatley,38636.0,22.3,86.7
MO,Clever,49589.0,15.5,92.3
NC,Alamance village,77885.0,1.7,96.3
FL,East Palatka CDP,35000.0,20.4,84.7
OH,North Baltimore village,44737.0,13.9,90.1
OH,Groesbeck CDP,53268.0,14.9,86.1
MI,Fowler village,54844.0,9.5,94.1
MT,Sangrey CDP,31071.0,43.9,63.2
OH,Mayfield village,68191.0,2.8,95.6
SD,Frankfort,37083.0,8.7,88.1
IA,Garner,58323.0,9.2,94.8
PA,Lima CDP,53669.0,1.7,93.4
TX,Bruceville-Eddy,48393.0,8.9,86.0
PA,Millbourne borough,35000.0,29.1,78.7
SC,Irmo town,55168.0,16.4,92.6
TN,East Cleveland CDP,26750.0,39.8,72.3
NY,Spencerport village,62708.0,7.5,94.5
OH,Bryan,34454.0,19.5,91.7
MA,Sandwich CDP,67857.0,6.9,94.9
WI,King CDP,57692.0,19.3,89.5
CA,San Marcos,57822.0,16.0,81.4
NY,Walden village,66989.0,12.9,88.8
IN,Cynthiana town,50000.0,12.8,83.3
NE,Filley village,42188.0,8.9,90.7
MO,Richmond Heights,68364.0,8.3,97.4
MT,Kalispell,41097.0,17.1,94.3
TX,Blanket town,38750.0,17.4,85.5
ND,Argusville,100250.0,1.1,96.5
MD,Mayo CDP,114453.0,1.5,95.0
ND,Regan,25625.0,57.9,78.4
TX,Alton,27726.0,42.7,54.8
IA,Donnellson,37656.0,14.8,91.4
TX,Shady Hollow CDP,105244.0,2.7,97.7
MI,White Pigeon village,41375.0,18.0,81.2
